trace,fixture,config,waste,data_refs,gate_lookups,gate_admits,admit_rate,selector_lookups,selector_updates,pooled_updates,selector_lookups_per_ref,inserts,evictions,action_rate,strict_cov,strict_net_per_1k,ns_per_ref
python,coarse,coarse/best-ev-w1.00,1.000,4441310,0,0,0.000000,0,0,0,0.0000,2776257,71846,0.101849,0.186234,-90.630,328.24
python,h32,h32/conditional-w1.00,1.000,4441310,4441310,1522344,0.342769,48715008,48714881,142121392,10.9686,4190332,5741453,0.020232,0.043001,-17.641,986.75
python,h32,h32/cond-random-w1.00,1.000,4441310,4441310,1546555,0.348220,1546555,49489633,142121392,0.3482,4190332,5767779,0.020331,0.037039,-18.100,890.60
python,h32,h32/pooled-w1.00,1.000,4441310,4441310,1163137,0.261891,0,0,142121392,0.0000,474005,0,0.050888,0.111782,-44.154,390.35
python,h32,h32/best-ev-w1.00,1.000,4441310,0,0,0.000000,0,0,0,0.0000,4194303,15728054,0.232676,0.248699,-217.694,1798.92
python,coarse,coarse/conditional-w4.00,4.000,4441310,4441310,1515561,0.341242,9093366,9093352,26647797,2.0475,1856889,4762,0.019659,0.031723,-73.859,264.65
python,coarse,coarse/cond-random-w4.00,4.000,4441310,4441310,1522185,0.342733,1522185,9133096,26647797,0.3427,1856890,4763,0.019704,0.014913,-76.569,252.22
python,coarse,coarse/pooled-w4.00,4.000,4441310,4441310,1008668,0.227110,0,0,26647797,0.0000,474005,0,0.057995,0.085824,-219.053,193.97
python,coarse,coarse/best-ev-w4.00,4.000,4441310,0,0,0.000000,0,0,0,0.0000,2776257,71846,0.099172,0.128872,-377.278,323.80
python,h32,h32/conditional-w4.00,4.000,4441310,4441310,1520060,0.342255,48641920,48641793,142121392,10.9522,4190332,5741028,0.019647,0.031863,-73.787,962.57
python,h32,h32/cond-random-w4.00,4.000,4441310,4441310,1539026,0.346525,1539026,49248705,142121392,0.3465,4190333,5766688,0.019220,0.015259,-74.580,895.49
python,h32,h32/pooled-w4.00,4.000,4441310,4441310,1150475,0.259040,0,0,142121392,0.0000,474005,0,0.049081,0.068865,-185.952,408.60
python,h32,h32/best-ev-w4.00,4.000,4441310,0,0,0.000000,0,0,0,0.0000,4194303,15728054,0.230149,0.189421,-892.069,1744.06
sort,coarse,coarse/conditional-w0.05,0.050,3763179,3763179,730651,0.194158,4383906,4383906,22579011,1.1649,62385,0,0.000873,0.005090,0.009,121.40
sort,coarse,coarse/cond-random-w0.05,0.050,3763179,3763179,730334,0.194074,730334,4382004,22579011,0.1941,62385,0,0.000832,0.001483,-0.026,118.23
sort,coarse,coarse/pooled-w0.05,0.050,3763179,3763179,729967,0.193976,0,0,22579011,0.0000,23259,0,0.000798,0.000000,-0.040,100.95
sort,coarse,coarse/best-ev-w0.05,0.050,3763179,0,0,0.000000,0,0,0,0.0000,139554,0,0.004452,0.004786,-0.173,145.56
sort,h32,h32/conditional-w0.05,0.050,3763179,3763179,765816,0.203502,24506112,24506112,120421200,6.5121,238011,0,0.012259,0.582364,5.413,423.84
sort,h32,h32/cond-random-w0.05,0.050,3763179,3763179,730976,0.194244,730976,23391232,120421200,0.1942,238011,0,0.000798,0.000101,-0.039,354.57
sort,h32,h32/pooled-w0.05,0.050,3763179,3763179,767769,0.204021,0,0,120421200,0.0000,23259,0,0.012269,0.582600,5.415,254.64
sort,h32,h32/best-ev-w0.05,0.050,3763179,0,0,0.000000,0,0,0,0.0000,744282,6,0.038994,0.999427,8.391,955.51
sort,coarse,coarse/conditional-w0.25,0.250,3763179,3763179,728133,0.193489,4368798,4368798,22579011,1.1609,62385,0,0.000227,0.000000,-0.057,116.15
sort,coarse,coarse/cond-random-w0.25,0.250,3763179,3763179,728090,0.193477,728090,4368540,22579011,0.1935,62385,0,0.000230,0.000034,-0.057,110.59
sort,coarse,coarse/pooled-w0.25,0.250,3763179,3763179,728045,0.193465,0,0,22579011,0.0000,23259,0,0.000232,0.000000,-0.058,101.24
sort,coarse,coarse/best-ev-w0.25,0.250,3763179,0,0,0.000000,0,0,0,0.0000,139554,0,0.001393,0.002292,-0.320,145.54
sort,h32,h32/conditional-w0.25,0.250,3763179,3763179,728725,0.193646,23319200,23319200,120421200,6.1967,238011,0,0.000228,0.000000,-0.057,419.16
sort,h32,h32/cond-random-w0.25,0.250,3763179,3763179,728741,0.193650,728741,23319712,120421200,0.1937,238011,0,0.000230,0.000034,-0.057,362.39
sort,h32,h32/pooled-w0.25,0.250,3763179,3763179,763913,0.202997,0,0,120421200,0.0000,23259,0,0.011712,0.582600,4.249,259.31
sort,h32,h32/best-ev-w0.25,0.250,3763179,0,0,0.000000,0,0,0,0.0000,744282,6,0.018554,0.623791,3.045,961.43
sort,coarse,coarse/conditional-w1.00,1.000,3763179,3763179,727560,0.193337,4365360,4365360,22579011,1.1600,62385,0,0.000058,0.000000,-0.058,117.29
sort,coarse,coarse/cond-random-w1.00,1.000,3763179,3763179,727501,0.193321,727501,4365006,22579011,0.1933,62385,0,0.000058,0.000000,-0.058,109.66
sort,coarse,coarse/pooled-w1.00,1.000,3763179,3763179,727471,0.193313,0,0,22579011,0.0000,23259,0,0.000060,0.000000,-0.060,99.43
sort,coarse,coarse/best-ev-w1.00,1.000,3763179,0,0,0.000000,0,0,0,0.0000,139554,0,0.000354,0.000472,-0.345,144.75
sort,h32,h32/conditional-w1.00,1.000,3763179,3763179,728112,0.193483,23299584,23299584,120421200,6.1915,238011,0,0.000058,0.000000,-0.058,420.40
sort,h32,h32/cond-random-w1.00,1.000,3763179,3763179,728078,0.193474,728078,23298496,120421200,0.1935,238011,0,0.000059,0.000000,-0.059,361.02
sort,h32,h32/pooled-w1.00,1.000,3763179,3763179,728226,0.193514,0,0,120421200,0.0000,23259,0,0.000071,0.000607,-0.059,254.88
sort,h32,h32/best-ev-w1.00,1.000,3763179,0,0,0.000000,0,0,0,0.0000,744282,6,0.001823,0.000843,-1.806,943.47
sort,coarse,coarse/conditional-w4.00,4.000,3763179,3763179,727560,0.193337,4365360,4365360,22579011,1.1600,62385,0,0.000058,0.000000,-0.233,116.70
sort,coarse,coarse/cond-random-w4.00,4.000,3763179,3763179,727501,0.193321,727501,4365006,22579011,0.1933,62385,0,0.000058,0.000000,-0.233,109.17
sort,coarse,coarse/pooled-w4.00,4.000,3763179,3763179,727471,0.193313,0,0,22579011,0.0000,23259,0,0.000060,0.000000,-0.240,100.63
sort,coarse,coarse/best-ev-w4.00,4.000,3763179,0,0,0.000000,0,0,0,0.0000,139554,0,0.000346,0.000067,-1.382,146.00
sort,h32,h32/conditional-w4.00,4.000,3763179,3763179,728112,0.193483,23299584,23299584,120421200,6.1915,238011,0,0.000058,0.000000,-0.233,423.04
sort,h32,h32/cond-random-w4.00,4.000,3763179,3763179,728078,0.193474,728078,23298496,120421200,0.1935,238011,0,0.000059,0.000000,-0.238,353.22
sort,h32,h32/pooled-w4.00,4.000,3763179,3763179,728193,0.193505,0,0,120421200,0.0000,23259,0,0.000060,0.000034,-0.240,254.75
sort,h32,h32/best-ev-w4.00,4.000,3763179,0,0,0.000000,0,0,0,0.0000,744282,6,0.001810,0.000371,-7.223,944.13
tsort,coarse,coarse/conditional-w0.05,0.050,3960537,3960537,950319,0.239947,5701914,5701912,23763159,1.4397,139695,0,0.041189,0.338404,8.867,199.76
tsort,coarse,coarse/cond-random-w0.05,0.050,3960537,3960537,915460,0.231145,915460,5492758,23763159,0.2311,139695,0,0.028103,0.047912,0.142,186.71
tsort,coarse,coarse/pooled-w0.05,0.050,3960537,3960537,916568,0.231425,0,0,23763159,0.0000,35949,0,0.043693,0.178532,3.580,154.84
tsort,coarse,coarse/best-ev-w0.05,0.050,3960537,0,0,0.000000,0,0,0,0.0000,215694,0,0.110864,0.446689,8.879,259.98
tsort,h32,h32/conditional-w0.05,0.050,3960537,3960537,962124,0.242928,30787968,30787951,126736656,7.7737,593996,1,0.043211,0.366568,9.675,628.21
tsort,h32,h32/cond-random-w0.05,0.050,3960537,3960537,897582,0.226631,897582,28722607,126736656,0.2266,593996,1,0.026340,0.008878,-1.030,529.21
tsort,h32,h32/pooled-w0.05,0.050,3960537,3960537,990047,0.249978,0,0,126736656,0.0000,35949,0,0.036241,0.210473,4.984,333.26
tsort,h32,h32/best-ev-w0.05,0.050,3960537,0,0,0.000000,0,0,0,0.0000,1150224,153,0.211132,0.472852,4.710,1385.19
tsort,coarse,coarse/conditional-w0.25,0.250,3960537,3960537,861839,0.217607,5171034,5171034,23763159,1.3056,139695,0,0.018656,0.256589,5.199,208.20
tsort,coarse,coarse/cond-random-w0.25,0.250,3960537,3960537,849396,0.214465,849396,5096376,23763159,0.2145,139695,0,0.010156,0.037864,-1.084,191.76
tsort,coarse,coarse/pooled-w0.25,0.250,3960537,3960537,829293,0.209389,0,0,23763159,0.0000,35949,0,0.019156,0.096348,-1.086,156.49
tsort,coarse,coarse/best-ev-w0.25,0.250,3960537,0,0,0.000000,0,0,0,0.0000,215694,0,0.051901,0.314365,-0.892,280.59
tsort,h32,h32/conditional-w0.25,0.250,3960537,3960537,849363,0.214457,27179616,27179616,126736656,6.8626,593996,1,0.016804,0.226495,4.505,627.73
tsort,h32,h32/cond-random-w0.25,0.250,3960537,3960537,826758,0.208749,826758,26456247,126736656,0.2087,593996,1,0.008769,0.001909,-2.119,524.86
tsort,h32,h32/pooled-w0.25,0.250,3960537,3960537,869807,0.219618,0,0,126736656,0.0000,35949,0,0.020598,0.208256,2.855,342.19
tsort,h32,h32/best-ev-w0.25,0.250,3960537,0,0,0.000000,0,0,0,0.0000,1150224,153,0.121812,0.412304,-14.605,1384.82
tsort,coarse,coarse/conditional-w1.00,1.000,3960537,3960537,808154,0.204052,4848924,4848924,23763159,1.2243,139695,0,0.004691,0.071653,-0.285,186.33
tsort,coarse,coarse/cond-random-w1.00,1.000,3960537,3960537,801364,0.202337,801364,4808184,23763159,0.2023,139695,0,0.002375,0.000370,-2.353,177.96
tsort,coarse,coarse/pooled-w1.00,1.000,3960537,3960537,778004,0.196439,0,0,23763159,0.0000,35949,0,0.004310,0.003069,-4.122,150.72
tsort,coarse,coarse/best-ev-w1.00,1.000,3960537,0,0,0.000000,0,0,0,0.0000,215694,0,0.022024,0.243606,-7.042,256.11
tsort,h32,h32/conditional-w1.00,1.000,3960537,3960537,808597,0.204163,25875104,25875104,126736656,6.5332,593996,1,0.004692,0.071653,-0.285,593.65
tsort,h32,h32/cond-random-w1.00,1.000,3960537,3960537,802373,0.202592,802373,25675936,126736656,0.2026,593996,1,0.002395,0.000380,-2.371,500.00
tsort,h32,h32/pooled-w1.00,1.000,3960537,3960537,802013,0.202501,0,0,126736656,0.0000,35949,0,0.008679,0.137219,-0.240,334.76
tsort,h32,h32/best-ev-w1.00,1.000,3960537,0,0,0.000000,0,0,0,0.0000,1150224,153,0.052876,0.220819,-39.295,1417.25
