trace,fixture,config,waste,data_refs,gate_lookups,gate_admits,admit_rate,selector_lookups,selector_updates,pooled_updates,selector_lookups_per_ref,inserts,evictions,action_rate,strict_cov,strict_net_per_1k,ns_per_ref
awkhash,coarse,coarse/cond-random-w1.00,1.000,4287416,4287416,850387,0.198345,850387,5102322,25724433,0.1983,126692,0,0.001926,0.002460,-1.845,196.22
awkhash,coarse,coarse/pooled-w1.00,1.000,4287416,4287416,834875,0.194727,0,0,25724433,0.0000,36080,0,0.002850,0.009556,-2.538,171.18
awkhash,coarse,coarse/best-ev-w1.00,1.000,4287416,0,0,0.000000,0,0,0,0.0000,216480,0,0.010490,0.013140,-10.060,286.81
awkhash,h32,h32/conditional-w1.00,1.000,4287416,4287416,850372,0.198341,27211904,27211904,137196784,6.3469,525616,0,0.001945,0.004421,-1.800,635.24
awkhash,h32,h32/cond-random-w1.00,1.000,4287416,4287416,851421,0.198586,851421,27245472,137196784,0.1986,525616,0,0.001926,0.002211,-1.854,546.09
awkhash,h32,h32/pooled-w1.00,1.000,4287416,4287416,844442,0.196958,0,0,137196784,0.0000,36080,0,0.002597,0.003191,-2.493,361.08
awkhash,h32,h32/best-ev-w1.00,1.000,4287416,0,0,0.000000,0,0,0,0.0000,1154422,144,0.039533,0.015636,-39.021,1446.03
awkhash,coarse,coarse/conditional-w4.00,4.000,4287416,4287416,849617,0.198165,5097702,5097702,25724433,1.1890,126692,0,0.001908,0.003209,-7.370,211.02
awkhash,coarse,coarse/cond-random-w4.00,4.000,4287416,4287416,850250,0.198313,850250,5101500,25724433,0.1983,126692,0,0.001896,0.001391,-7.469,200.22
awkhash,coarse,coarse/pooled-w4.00,4.000,4287416,4287416,834457,0.194629,0,0,25724433,0.0000,36080,0,0.002774,0.006721,-10.548,173.23
awkhash,coarse,coarse/best-ev-w4.00,4.000,4287416,0,0,0.000000,0,0,0,0.0000,216480,0,0.010416,0.009574,-40.880,287.11
awkhash,h32,h32/conditional-w4.00,4.000,4287416,4287416,850221,0.198306,27207072,27207072,137196784,6.3458,525616,0,0.001908,0.003209,-7.372,622.56
awkhash,h32,h32/cond-random-w4.00,4.000,4287416,4287416,851343,0.198568,851343,27242976,137196784,0.1986,525616,0,0.001898,0.001587,-7.462,532.40
awkhash,h32,h32/pooled-w4.00,4.000,4287416,4287416,844323,0.196931,0,0,137196784,0.0000,36080,0,0.002581,0.002567,-10.113,361.60
awkhash,h32,h32/best-ev-w4.00,4.000,4287416,0,0,0.000000,0,0,0,0.0000,1154422,144,0.039505,0.014120,-156.866,1488.37
gcc,coarse,coarse/conditional-w0.05,0.050,3961364,3961364,1249772,0.315490,7498632,7498614,23768121,1.8929,603729,0,0.070696,0.332506,0.107,215.97
gcc,coarse,coarse/cond-random-w0.05,0.050,3961364,3961364,1203858,0.303900,1203858,7223130,23768121,0.3039,603729,0,0.070832,0.189502,-1.466,197.95
gcc,coarse,coarse/pooled-w0.05,0.050,3961364,3961364,1124980,0.283988,0,0,23768121,0.0000,174934,0,0.099346,0.253910,-2.186,159.96
gcc,coarse,coarse/best-ev-w0.05,0.050,3961364,0,0,0.000000,0,0,0,0.0000,1049541,58,0.203187,0.397277,-5.808,264.14
gcc,h32,h32/conditional-w0.05,0.050,3961364,3961364,1254151,0.316596,40132832,40132684,126763120,10.1311,2458625,32244,0.069395,0.325942,0.100,737.11
gcc,h32,h32/cond-random-w0.05,0.050,3961364,3961364,1220979,0.308222,1220979,39071180,126763120,0.3082,2458625,32232,0.069645,0.128725,-2.072,629.48
gcc,h32,h32/pooled-w0.05,0.050,3961364,3961364,1327372,0.335080,0,0,126763120,0.0000,174934,0,0.077900,0.187233,-1.844,326.84
gcc,h32,h32/best-ev-w0.05,0.050,3961364,0,0,0.000000,0,0,0,0.0000,4082267,1589860,0.333843,0.419210,-12.101,1642.59
gcc,coarse,coarse/conditional-w0.25,0.250,3961364,3961364,1031542,0.260401,6189252,6189245,23768121,1.5624,603729,0,0.028162,0.279927,-3.391,208.13
gcc,coarse,coarse/cond-random-w0.25,0.250,3961364,3961364,1017852,0.256945,1017852,6107105,23768121,0.2569,603729,0,0.026792,0.135259,-4.934,198.04
gcc,coarse,coarse/pooled-w0.25,0.250,3961364,3961364,903384,0.228049,0,0,23768121,0.0000,174934,0,0.045881,0.198245,-8.885,166.12
gcc,coarse,coarse/best-ev-w0.25,0.250,3961364,0,0,0.000000,0,0,0,0.0000,1049541,58,0.101637,0.329753,-21.110,274.86
