trace,fixture,config,waste,h,issued,useful,useful_miss,share_issued,share_useful_miss,total_issued,total_useful_miss,scored_misses
awkhash,h16,h16/best-ev-w0.05,0.050,7,32180,20438,151,0.062523,0.054532,514692,2769,56090
awkhash,h16,h16/best-ev-w0.05,0.050,8,31509,19868,22,0.061219,0.007945,514692,2769,56090
awkhash,h16,h16/best-ev-w0.05,0.050,9,31553,19475,94,0.061305,0.033947,514692,2769,56090
awkhash,h16,h16/best-ev-w0.05,0.050,10,32842,20780,583,0.063809,0.210545,514692,2769,56090
awkhash,h16,h16/best-ev-w0.05,0.050,11,30900,18984,59,0.060036,0.021307,514692,2769,56090
awkhash,h16,h16/best-ev-w0.05,0.050,12,30612,19242,13,0.059476,0.004695,514692,2769,56090
awkhash,h16,h16/best-ev-w0.05,0.050,13,32752,20671,622,0.063634,0.224630,514692,2769,56090
awkhash,h16,h16/best-ev-w0.05,0.050,14,30104,19155,2,0.058489,0.000722,514692,2769,56090
awkhash,h16,h16/best-ev-w0.05,0.050,15,29988,18757,8,0.058264,0.002889,514692,2769,56090
awkhash,h16,h16/best-ev-w0.05,0.050,16,29818,18360,28,0.057934,0.010112,514692,2769,56090
awkhash,h16,h16/best-ev-w0.25,0.250,1,16651,11634,242,0.073783,0.147471,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,2,15893,10133,138,0.070425,0.084095,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,3,15579,9240,228,0.069033,0.138940,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,4,15007,8772,110,0.066499,0.067032,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,5,14630,8431,70,0.064828,0.042657,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,6,14545,8599,102,0.064451,0.062157,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,7,14097,8687,73,0.062466,0.044485,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,8,13743,8210,11,0.060898,0.006703,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,9,13764,8159,107,0.060991,0.065204,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,10,13966,8450,213,0.061886,0.129799,225674,1641,56090
