phase,trace,config,context,learner,window,waste,eval_begin,eval_end,accuracy,coverage,net_per_1k,strict_acc,strict_cov,strict_net_per_1k,mean_lead_data,mean_lead_total,issued,useful,useful_miss,scored_refs,scored_misses,action_rate,self_issued,self_useful,dedup_suppressed,state_bytes,table_bytes,update_ops,ns_per_ref,inserts,evictions,unresolved
B,xz,explicit-4,explicit-4,counts-eu,32,0.250,0.2000,1.0000,0.885812,0.678983,657.101,0.000107,0.007089,-191.524,1.999,6.9,2739009,2426247,294,3573355,41473,0.766509,1545048,1432213,361923,41,457179136,0,42.49,9954,0,5
B,xz,explicit-8,explicit-8,counts-eu,32,0.250,0.2000,1.0000,0.886767,0.694154,671.995,0.000109,0.007330,-195.592,1.930,6.6,2797196,2480460,304,3573355,41473,0.782793,1545450,1433537,345161,73,457179136,0,55.21,15465,0,4
B,xz,explicit-16,explicit-16,counts-eu,32,0.250,0.2000,1.0000,0.897592,0.714040,693.674,0.000103,0.007065,-198.774,1.754,6.1,2842627,2551520,293,3573355,41473,0.795506,1479953,1378491,291190,137,457179136,0,85.35,35941,0,3
B,xz,bitty-1x8-tau8,bitty-1x8-tau8,counts-eu,32,0.250,0.2000,1.0000,0.896589,0.689044,669.176,0.000113,0.007451,-192.021,1.729,6.0,2746186,2462199,309,3573355,41473,0.768518,1486473,1422642,333428,41,457179136,92266456,63.99,7868,0,6
B,xz,bitty-1x8-tau32,bitty-1x8-tau32,counts-eu,32,0.250,0.2000,1.0000,0.892440,0.706443,685.157,0.000154,0.010537,-197.744,2.055,7.1,2828617,2524371,437,3573355,41473,0.791586,1582236,1513811,334832,41,457179136,92266456,72.02,14412,0,9
B,xz,bitty-4x8-ternary,bitty-4x8-ternary,counts-eu,32,0.250,0.2000,1.0000,0.941833,0.783475,771.378,0.000096,0.006848,-207.866,1.316,4.6,2972538,2799634,284,3573355,41473,0.831862,1346396,1309591,131104,137,457179136,369065824,137.50,46368,0,4
B,xz,random-matched,random-matched,counts-eu,32,0.250,0.2000,1.0000,0.678879,0.049204,43.386,0.000062,0.000386,-18.114,4.805,17.5,258993,175825,16,3573355,41473,0.072479,199787,168090,1568,8,457179136,0,108.27,1033648,114,3
B,xz,bitty-shuffled-instr,bitty-shuffled-instr,counts-eu,32,0.250,0.2000,1.0000,0.793330,0.023212,21.700,0.001014,0.002556,-7.278,4.234,14.2,104553,82945,106,3573355,41473,0.029259,87428,78616,456,137,457179136,369065824,205.25,3546266,378245,0
B,xz,bitty-no-delta,bitty-no-delta,counts-eu,32,0.250,0.2000,1.0000,0.904402,0.736640,717.174,0.000097,0.006824,-203.527,1.607,5.4,2910517,2632277,283,3573355,41473,0.814505,1433542,1386156,211387,137,457179136,369065824,128.54,36682,0,5
B,xz,bitty-no-type,bitty-no-type,counts-eu,32,0.250,0.2000,1.0000,0.938649,0.780333,767.582,0.000096,0.006848,-207.735,1.344,4.7,2970659,2788407,284,3573355,41473,0.831336,1353376,1315731,137315,137,457179136,369065824,130.37,45592,0,4
B,xz,bitty-instr-only,bitty-instr-only,counts-eu,32,0.250,0.2000,1.0000,0.941833,0.783475,771.378,0.000096,0.006848,-207.866,1.316,4.6,2972538,2799634,284,3573355,41473,0.831862,1346396,1309591,131104,137,457179136,369065824,132.50,46368,0,4
B,xz,bitty-data-only,bitty-data-only,counts-eu,32,0.250,0.2000,1.0000,0.964608,0.617636,611.970,0.000058,0.003207,-160.028,1.403,4.7,2288009,2207032,133,3573355,41473,0.640297,1247244,1231636,233108,137,457179136,142934176,125.27,873772,20,5
B,xz,bitty-instr+data,bitty-instr+data,counts-eu,32,0.250,0.2000,1.0000,0.964920,0.794534,787.312,0.000074,0.005232,-205.779,1.204,4.2,2942370,2839151,217,3573355,41473,0.823419,1223703,1214989,99523,137,457179136,512000000,165.98,279554,0,5
B,xz,type+delta,type+delta,counts-eu,32,1.000,0.2000,1.0000,0.925129,0.457977,420.913,0.000000,0.000000,-495.041,3.290,11.5,1768959,1636515,0,3573355,41473,0.495041,1673160,1549260,20264,9,457179136,0,26.84,54,0,2
B,xz,pc-only,pc-only,counts-eu,32,1.000,0.2000,1.0000,0.931597,0.504212,467.190,0.000157,0.007330,-541.064,1.811,6.6,1934021,1801728,304,3573355,41473,0.541234,1241211,1161321,81640,17,457179136,0,28.37,6220,0,1
B,xz,explicit-1,explicit-1,counts-eu,32,1.000,0.2000,1.0000,0.931597,0.504212,467.190,0.000157,0.007330,-541.064,1.811,6.6,1934021,1801728,304,3573355,41473,0.541234,1241211,1161321,81640,17,457179136,0,32.16,6220,0,1
B,xz,explicit-2,explicit-2,counts-eu,32,1.000,0.2000,1.0000,0.937464,0.547182,510.680,0.000144,0.007258,-583.514,1.688,6.2,2085706,1955274,301,3573355,41473,0.583683,1343084,1263234,79702,25,457179136,0,34.81,7424,0,1
B,xz,explicit-4,explicit-4,counts-eu,32,1.000,0.2000,1.0000,0.933099,0.560729,520.526,0.000136,0.007041,-600.768,1.665,6.1,2147342,2003683,292,3573355,41473,0.600932,1349104,1269233,88185,41,457179136,0,40.40,9954,0,1
B,xz,explicit-8,explicit-8,counts-eu,32,1.000,0.2000,1.0000,0.926777,0.588677,542.166,0.000125,0.006848,-635.029,1.646,5.9,2269751,2103552,284,3573355,41473,0.635188,1342532,1264548,116339,73,457179136,0,53.27,15465,0,2
B,xz,explicit-16,explicit-16,counts-eu,32,1.000,0.2000,1.0000,0.927047,0.619980,571.191,0.000117,0.006727,-668.612,1.559,5.7,2389746,2215408,279,3573355,41473,0.668768,1321951,1243710,135422,137,457179136,0,84.63,35941,0,2
B,xz,bitty-1x8-tau8,bitty-1x8-tau8,counts-eu,32,1.000,0.2000,1.0000,0.946560,0.559097,527.532,0.000143,0.007258,-590.493,1.572,5.6,2110644,1997852,301,3573355,41473,0.590662,1152680,1112840,124028,41,457179136,92266456,60.35,7868,0,3
B,xz,bitty-1x8-tau32,bitty-1x8-tau32,counts-eu,32,1.000,0.2000,1.0000,0.939804,0.613227,573.949,0.000122,0.006872,-652.345,1.864,6.6,2331630,2191276,285,3573355,41473,0.652504,1322722,1271213,157102,41,457179136,92266456,72.32,14412,0,5
B,xz,bitty-4x8-ternary,bitty-4x8-ternary,counts-eu,32,1.000,0.2000,1.0000,0.964573,0.755920,728.157,0.000097,0.006583,-783.530,1.285,4.5,2800378,2701170,273,3573355,41473,0.783683,1301568,1270999,82200,137,457179136,369065824,134.11,46368,0,3
B,xz,random-matched,random-matched,counts-eu,32,1.000,0.2000,1.0000,0.840421,0.009285,7.522,0.000000,0.000000,-11.048,4.688,17.2,39479,33179,0,3573355,41473,0.011048,39407,33153,2,8,457179136,0,102.56,1033648,114,0
B,xz,bitty-shuffled-instr,bitty-shuffled-instr,counts-eu,32,1.000,0.2000,1.0000,0.913804,0.012099,10.957,0.001332,0.001519,-13.205,3.551,11.9,47311,43233,63,3573355,41473,0.013240,46320,42670,42,137,457179136,369065824,200.12,3546266,378245,0
B,xz,bitty-no-delta,bitty-no-delta,counts-eu,32,1.000,0.2000,1.0000,0.947783,0.663718,627.152,0.000107,0.006438,-700.135,1.426,4.7,2502366,2371701,267,3573355,41473,0.700285,1259573,1227451,94602,137,457179136,369065824,120.73,36682,0,4
B,xz,bitty-no-type,bitty-no-type,counts-eu,32,1.000,0.2000,1.0000,0.961509,0.751827,721.730,0.000098,0.006583,-781.771,1.310,4.5,2794093,2686546,273,3573355,41473,0.781924,1306637,1275201,87895,137,457179136,369065824,125.54,45592,0,3
B,xz,bitty-instr-only,bitty-instr-only,counts-eu,32,1.000,0.2000,1.0000,0.964573,0.755920,728.157,0.000097,0.006583,-783.530,1.285,4.5,2800378,2701170,273,3573355,41473,0.783683,1301568,1270999,82200,137,457179136,369065824,129.63,46368,0,3
B,xz,bitty-data-only,bitty-data-only,counts-eu,32,1.000,0.2000,1.0000,0.979275,0.607855,594.991,0.000021,0.001133,-620.693,1.380,4.7,2218049,2172081,47,3573355,41473,0.620719,1228329,1214241,208734,137,457179136,142934176,123.30,873772,20,4
B,xz,bitty-instr+data,bitty-instr+data,counts-eu,32,1.000,0.2000,1.0000,0.980916,0.787278,771.961,0.000035,0.002411,-802.538,1.191,4.1,2867954,2813223,100,3573355,41473,0.802594,1216359,1207980,84356,137,457179136,512000000,161.12,279554,0,5
D,xz,counts-eu,bitty-4x8-ternary,counts-eu,32,0.250,0.2000,1.0000,0.941833,0.783475,771.378,0.000096,0.006848,-207.866,1.316,4.6,2972538,2799634,284,3573355,41473,0.831862,1346396,1309591,131104,137,457179136,369065824,125.54,46368,0,4
D,xz,decay-0.99,bitty-4x8-ternary,decay-0.99,32,0.250,0.2000,1.0000,0.942052,0.782832,770.793,0.000096,0.006872,-207.647,1.314,4.6,2969407,2797335,285,3573355,41473,0.830986,1335753,1298779,136197,137,457179136,369065824,123.59,46368,0,4
D,xz,decay-0.999,bitty-4x8-ternary,decay-0.999,32,0.250,0.2000,1.0000,0.942211,0.782258,770.263,0.000095,0.006824,-207.460,1.309,4.6,2966728,2795285,283,3573355,41473,0.830236,1338931,1302190,132018,137,457179136,369065824,130.59,46368,0,4
D,xz,bandit,bitty-4x8-ternary,bandit,32,0.250,0.2000,1.0000,0.958152,0.768985,760.589,0.000098,0.006800,-200.544,1.336,4.7,2867872,2747857,282,3573355,41473,0.802571,1345554,1310992,97779,137,591396864,369065824,140.92,46368,0,4
D,xz,topk-1,bitty-4x8-ternary,topk-1,32,0.250,0.2000,1.0000,0.946083,0.761313,750.466,0.000101,0.007017,-201.073,1.324,4.6,2875478,2720442,291,3573355,41473,0.804700,1296594,1269369,120798,137,104857600,369065824,116.76,46368,0,3
D,xz,topk-2,bitty-4x8-ternary,topk-2,32,0.250,0.2000,1.0000,0.943915,0.776130,764.601,0.000100,0.007113,-205.458,1.308,4.6,2938175,2773388,295,3573355,41473,0.822245,1343256,1306990,119564,137,155189248,369065824,129.19,46368,0,4
D,xz,topk-4,bitty-4x8-ternary,topk-4,32,0.250,0.2000,1.0000,0.942160,0.782393,770.385,0.000096,0.006896,-207.506,1.314,4.6,2967403,2795769,286,3573355,41473,0.830425,1346310,1309507,128072,137,255852544,369065824,129.60,46368,0,4
D,xz,topk-8,bitty-4x8-ternary,topk-8,32,0.250,0.2000,1.0000,0.941833,0.783475,771.378,0.000096,0.006848,-207.866,1.316,4.6,2972538,2799634,284,3573355,41473,0.831862,1346396,1309591,131104,137,457179136,369065824,136.42,46368,0,4
D,xz,fixed-conf-0.25,bitty-4x8-ternary,fixed-conf-0.25,32,0.250,0.2000,1.0000,0.945417,0.782771,771.473,0.000096,0.006848,-206.892,1.313,4.6,2958608,2797119,284,3573355,41473,0.827964,1345592,1308819,128073,137,457179136,369065824,136.70,46368,0,4
D,xz,fixed-conf-0.50,bitty-4x8-ternary,fixed-conf-0.50,32,0.250,0.2000,1.0000,0.964573,0.755920,748.979,0.000097,0.006583,-195.825,1.285,4.5,2800378,2701170,273,3573355,41473,0.783683,1301568,1270999,82200,137,457179136,369065824,138.08,46368,0,3
D,xz,fixed-conf-0.75,bitty-4x8-ternary,fixed-conf-0.75,32,0.250,0.2000,1.0000,0.991656,0.675138,673.717,0.000105,0.006173,-170.115,1.064,3.5,2432805,2412506,256,3573355,41473,0.680818,1107420,1103958,17025,137,457179136,369065824,140.28,46368,0,2
D,xz,fixed-conf-0.90,bitty-4x8-ternary,fixed-conf-0.90,32,0.250,0.2000,1.0000,0.997741,0.635948,635.588,0.000109,0.006004,-159.260,1.012,3.3,2277613,2272469,249,3573355,41473,0.637388,1067055,1066122,2754,137,457179136,369065824,133.90,46368,0,2
D,xz,no-gate,bitty-4x8-ternary,no-gate,32,0.250,0.2000,1.0000,0.840105,0.785799,748.409,0.000131,0.010561,-233.686,1.336,4.7,3342365,2807937,438,3573355,41473,0.935358,1347805,1310790,167987,137,457179136,369065824,138.25,46368,0,5
D,xz,min-evidence-1,bitty-4x8-ternary,min-evidence-1,32,0.250,0.2000,1.0000,0.939133,0.791996,779.163,0.000118,0.008584,-210.707,1.315,4.6,3013505,2830082,356,3573355,41473,0.843327,1360665,1323728,133136,137,457179136,369065824,138.84,46368,0,4
D,xz,min-evidence-2,bitty-4x8-ternary,min-evidence-2,32,0.250,0.2000,1.0000,0.939762,0.790114,777.452,0.000107,0.007716,-210.078,1.315,4.6,3004333,2823357,320,3573355,41473,0.840760,1357516,1320608,132651,137,457179136,369065824,137.87,46368,0,4
D,xz,min-evidence-6,bitty-4x8-ternary,min-evidence-6,32,0.250,0.2000,1.0000,0.941833,0.783475,771.378,0.000096,0.006848,-207.866,1.316,4.6,2972538,2799634,284,3573355,41473,0.831862,1346396,1309591,131104,137,457179136,369065824,136.61,46368,0,4
D,xz,min-evidence-16,bitty-4x8-ternary,min-evidence-16,32,0.250,0.2000,1.0000,0.943422,0.768825,757.298,0.000093,0.006558,-203.638,1.319,4.6,2912041,2747285,272,3573355,41473,0.814932,1321942,1285332,127910,137,457179136,369065824,130.64,46368,0,4
D,xz,min-evidence-64,bitty-4x8-ternary,min-evidence-64,32,0.250,0.2000,1.0000,0.942287,0.715044,704.095,0.000078,0.005088,-189.636,1.332,4.7,2711600,2555105,211,3573355,41473,0.758839,1230661,1194732,116054,137,457179136,369065824,133.81,46368,0,2
D,xz,absolute-line-outcome,bitty-4x8-ternary,absolute-line-outcome,32,0.250,0.2000,1.0000,0.971190,0.825500,819.378,0.000014,0.001037,-212.482,1.254,4.4,3037308,2949804,43,3573355,41473,0.849988,1292094,1259498,159312,137,457179136,369065824,131.67,46368,0,3
D,xz,slots-2^14,bitty-4x8-ternary,slots-2^14,32,0.250,0.2000,1.0000,0.941977,0.772234,760.342,0.000095,0.006703,-204.853,1.319,4.6,2929440,2759465,278,3573355,41473,0.819801,1328149,1291529,128716,137,1785856,369065824,114.29,16384,84569,4
D,xz,slots-2^16,bitty-4x8-ternary,slots-2^16,32,0.250,0.2000,1.0000,0.941833,0.783465,771.369,0.000096,0.006848,-207.864,1.316,4.6,2972501,2799599,284,3573355,41473,0.831852,1346390,1309586,131091,137,7143424,369065824,120.82,45045,1505,4
D,xz,slots-2^18,bitty-4x8-ternary,slots-2^18,32,0.250,0.2000,1.0000,0.941833,0.783475,771.378,0.000096,0.006848,-207.866,1.316,4.6,2972538,2799634,284,3573355,41473,0.831862,1346396,1309591,131104,137,28573696,369065824,119.70,46368,0,4
D,xz,slots-2^20,bitty-4x8-ternary,slots-2^20,32,0.250,0.2000,1.0000,0.941833,0.783475,771.378,0.000096,0.006848,-207.866,1.316,4.6,2972538,2799634,284,3573355,41473,0.831862,1346396,1309591,131104,137,114294784,369065824,127.49,46368,0,4
D,xz,slots-2^22,bitty-4x8-ternary,slots-2^22,32,0.250,0.2000,1.0000,0.941833,0.783475,771.378,0.000096,0.006848,-207.866,1.316,4.6,2972538,2799634,284,3573355,41473,0.831862,1346396,1309591,131104,137,457179136,369065824,135.43,46368,0,4
E,xz,next-line,-,next-line,32,0.250,0.2000,1.0000,0.359128,0.097679,54.101,0.001375,0.032214,-67.530,8.834,31.5,971911,349040,1336,3573355,41473,0.271988,0,0,2601444,0,0,0,12.03,0,0,4
E,xz,last-stride,-,last-stride,32,0.250,0.2000,1.0000,0.302387,0.147433,62.400,0.000414,0.017385,-121.638,5.482,19.9,1742232,526829,721,3573355,41473,0.487562,0,0,394613,16,0,0,14.41,0,0,8
E,xz,pc-stride,-,pc-stride,32,0.250,0.2000,1.0000,0.925144,0.000135,0.132,0.493282,0.006197,0.053,7.994,20.0,521,482,257,3573355,41473,0.000146,0,0,482,0,98304,0,6.88,0,0,0
E,xz,delta-markov,-,delta-markov,32,0.250,0.2000,1.0000,0.901418,0.496482,482.908,0.000312,0.014805,-137.480,2.879,10.5,1968127,1774106,614,3573355,41473,0.550778,1283549,1198233,267159,0,262144,0,19.28,0,0,3
E,xz,ghb-gdc,-,ghb-gdc,32,0.250,0.2000,1.0000,0.599788,0.292722,243.892,0.000447,0.018807,-121.738,3.984,15.3,1743947,1045999,780,3573355,41473,0.488042,0,0,366469,0,294912,0,17.91,0,0,4
E,xz,spp-lite,-,spp-lite,32,0.250,0.2000,1.0000,0.896488,0.298842,290.215,0.000411,0.011815,-83.165,1.688,6.3,1191168,1067868,490,3573355,41473,0.333347,0,0,105509,0,262144,0,15.41,0,0,2
E,xz,prepchef-bitty-w0.05,bitty-4x8-ternary,counts-eu,32,0.050,0.2000,1.0000,0.914159,0.785472,781.784,0.000100,0.007402,-42.871,1.331,4.7,3070330,2806769,307,3573355,41473,0.859229,1347805,1310790,143912,137,457179136,369065824,133.27,46368,0,5
E,xz,prepchef-explicit4-w0.05,explicit-4,counts-eu,32,0.050,0.2000,1.0000,0.862690,0.682352,676.921,0.000107,0.007306,-39.459,2.010,6.9,2826375,2438285,303,3573355,41473,0.790958,1545093,1432218,416591,41,457179136,0,42.45,9954,0,6
E,xz,prepchef-bitty-w0.10,bitty-4x8-ternary,counts-eu,32,0.100,0.2000,1.0000,0.925235,0.785166,778.822,0.000098,0.007137,-84.770,1.323,4.6,3032396,2805678,296,3573355,41473,0.848613,1347783,1310769,138476,137,457179136,369065824,135.29,46368,0,5
E,xz,prepchef-explicit4-w0.10,explicit-4,counts-eu,32,0.100,0.2000,1.0000,0.867535,0.682193,671.776,0.000107,0.007282,-78.543,2.009,6.9,2809934,2437716,302,3573355,41473,0.786357,1545093,1432218,408398,41,457179136,0,42.53,9954,0,6
E,xz,prepchef-bitty-w0.25,bitty-4x8-ternary,counts-eu,32,0.250,0.2000,1.0000,0.941833,0.783475,771.378,0.000096,0.006848,-207.866,1.316,4.6,2972538,2799634,284,3573355,41473,0.831862,1346396,1309591,131104,137,457179136,369065824,134.22,46368,0,4
E,xz,prepchef-explicit4-w0.25,explicit-4,counts-eu,32,0.250,0.2000,1.0000,0.885812,0.678983,657.101,0.000107,0.007089,-191.524,1.999,6.9,2739009,2426247,294,3573355,41473,0.766509,1545048,1432213,361923,41,457179136,0,41.87,9954,0,5
E,xz,prepchef-bitty-w0.50,bitty-4x8-ternary,counts-eu,32,0.500,0.2000,1.0000,0.949339,0.779854,759.045,0.000096,0.006800,-410.617,1.306,4.6,2935406,2786694,282,3573355,41473,0.821471,1343047,1306702,119983,137,457179136,369065824,132.46,46368,0,4
E,xz,prepchef-explicit4-w0.50,explicit-4,counts-eu,32,0.500,0.2000,1.0000,0.898730,0.651554,614.845,0.000113,0.007065,-362.363,1.784,6.3,2590582,2328233,293,3573355,41473,0.724972,1486595,1378462,252806,41,457179136,0,41.41,9954,0,3
E,xz,prepchef-bitty-w1.00,bitty-4x8-ternary,counts-eu,32,1.000,0.2000,1.0000,0.964573,0.755920,728.157,0.000097,0.006583,-783.530,1.285,4.5,2800378,2701170,273,3573355,41473,0.783683,1301568,1270999,82200,137,457179136,369065824,132.28,46368,0,3
E,xz,prepchef-explicit4-w1.00,explicit-4,counts-eu,32,1.000,0.2000,1.0000,0.933099,0.560729,520.526,0.000136,0.007041,-600.768,1.665,6.1,2147342,2003683,292,3573355,41473,0.600932,1349104,1269233,88185,41,457179136,0,39.98,9954,0,1
E,xz,prepchef-bitty-w2.00,bitty-4x8-ternary,counts-eu,32,2.000,0.2000,1.0000,0.985976,0.698877,678.997,0.000103,0.006269,-1417.416,1.109,3.7,2532856,2497336,260,3573355,41473,0.708817,1153399,1144941,29369,137,457179136,369065824,134.37,46368,0,2
E,xz,prepchef-explicit4-w2.00,explicit-4,counts-eu,32,2.000,0.2000,1.0000,0.964785,0.481761,446.592,0.000151,0.006510,-998.463,1.297,4.7,1784337,1721502,270,3573355,41473,0.499345,1116908,1060407,42271,41,457179136,0,38.06,9954,0,1
E,xz,prepchef-bitty-w4.00,bitty-4x8-ternary,counts-eu,32,4.000,0.2000,1.0000,0.994895,0.660871,647.307,0.000106,0.006076,-2656.695,1.029,3.4,2373644,2361527,252,3573355,41473,0.664262,1094912,1093086,8247,137,457179136,369065824,133.18,46368,0,2
E,xz,prepchef-explicit4-w4.00,explicit-4,counts-eu,32,4.000,0.2000,1.0000,0.996823,0.411186,405.944,0.000180,0.006390,-1649.617,1.029,3.6,1473998,1469315,265,3573355,41473,0.412497,833364,833085,12197,41,457179136,0,35.79,9954,0,1
E-noself,xz,prepchef-noself-w0.25,bitty-4x8-ternary,counts-eu,32,0.250,0.2000,1.0000,0.917357,0.429591,419.916,0.000170,0.006848,-116.974,1.247,4.8,1673374,1535081,284,3573355,41473,0.468292,0,0,83872,137,457179136,369065824,130.77,46368,0,2
E-noself,xz,prepchef-noself-w1.00,bitty-4x8-ternary,counts-eu,32,1.000,0.2000,1.0000,0.954922,0.409982,390.629,0.000178,0.006583,-429.183,1.199,4.7,1534171,1465013,273,3573355,41473,0.429336,0,0,46839,137,457179136,369065824,134.67,46368,0,1
base,sort,bitty-w0.05,bitty-4x8-ternary,counts-eu,32,0.050,0.2000,1.0000,0.914285,0.192386,191.484,0.000294,0.006270,-10.456,1.535,6.1,633485,579186,186,3010544,29667,0.210422,172837,172837,194051,137,457179136,391578272,65.16,23259,0,0
base,sort,explicit4-w0.05,explicit-4,counts-eu,32,0.050,0.2000,1.0000,0.813749,0.193951,191.732,0.000259,0.006270,-11.852,2.388,9.6,717542,583899,186,3010544,29667,0.238343,172839,172839,667070,41,457179136,0,28.32,7812,0,2
base,sort,next-line-w0.05,-,next-line,32,0.050,0.2000,1.0000,0.392718,0.101422,93.580,0.015766,0.413186,-8.638,14.028,60.9,777490,305334,12258,3010544,29667,0.258256,0,0,2233054,0,0,0,9.86,0,0,5
base,sort,last-stride-w0.05,-,last-stride,32,0.050,0.2000,1.0000,0.677862,0.547151,534.150,0.004492,0.367917,-36.552,2.926,11.9,2430024,1647222,10915,3010544,29667,0.807171,0,0,200275,16,0,0,15.00,0,0,8
base,sort,bitty-w0.10,bitty-4x8-ternary,counts-eu,32,0.100,0.2000,1.0000,0.915343,0.192384,190.604,0.000294,0.006270,-20.950,1.535,6.1,632745,579179,186,3010544,29667,0.210176,172837,172837,193901,137,457179136,391578272,66.00,23259,0,0
base,sort,explicit4-w0.10,explicit-4,counts-eu,32,0.100,0.2000,1.0000,0.890630,0.183777,181.521,0.000299,0.006270,-20.567,1.799,6.8,621212,553270,186,3010544,29667,0.206345,172839,172839,208696,41,457179136,0,27.77,7812,0,0
base,sort,next-line-w0.10,-,next-line,32,0.100,0.2000,1.0000,0.392718,0.101422,85.738,0.015766,0.413186,-21.347,14.028,60.9,777490,305334,12258,3010544,29667,0.258256,0,0,2233054,0,0,0,9.69,0,0,5
base,sort,last-stride-w0.10,-,last-stride,32,0.100,0.2000,1.0000,0.677862,0.547151,521.149,0.004492,0.367917,-76.729,2.926,11.9,2430024,1647222,10915,3010544,29667,0.807171,0,0,200275,16,0,0,15.08,0,0,8
base,sort,bitty-w0.25,bitty-4x8-ternary,counts-eu,32,0.250,0.2000,1.0000,0.976994,0.177807,176.760,0.000339,0.006270,-45.421,1.000,3.6,547901,535296,186,3010544,29667,0.181994,172837,172837,15050,137,457179136,391578272,66.44,23259,0,0
base,sort,explicit4-w0.25,explicit-4,counts-eu,32,0.250,0.2000,1.0000,0.937370,0.172295,169.417,0.000336,0.006270,-45.875,1.000,3.3,553359,518702,186,3010544,29667,0.183807,172839,172839,0,41,457179136,0,26.90,7812,0,0
base,sort,next-line-w0.25,-,next-line,32,0.250,0.2000,1.0000,0.392718,0.101422,62.213,0.015766,0.413186,-59.474,14.028,60.9,777490,305334,12258,3010544,29667,0.258256,0,0,2233054,0,0,0,9.92,0,0,5
base,sort,last-stride-w0.25,-,last-stride,32,0.250,0.2000,1.0000,0.677862,0.547151,482.146,0.004492,0.367917,-197.261,2.926,11.9,2430024,1647222,10915,3010544,29667,0.807171,0,0,200275,16,0,0,15.06,0,0,8
base,sort,bitty-w0.50,bitty-4x8-ternary,counts-eu,32,0.500,0.2000,1.0000,0.977012,0.177807,175.715,0.000339,0.006270,-90.903,1.000,3.6,547891,535296,186,3010544,29667,0.181991,172837,172837,15050,137,457179136,391578272,69.92,23259,0,0
base,sort,explicit4-w0.50,explicit-4,counts-eu,32,0.500,0.2000,1.0000,0.937370,0.172295,166.539,0.000336,0.006270,-91.811,1.000,3.3,553359,518702,186,3010544,29667,0.183807,172839,172839,0,41,457179136,0,26.74,7812,0,0
base,sort,next-line-w0.50,-,next-line,32,0.500,0.2000,1.0000,0.392718,0.101422,23.004,0.015766,0.413186,-123.020,14.028,60.9,777490,305334,12258,3010544,29667,0.258256,0,0,2233054,0,0,0,9.68,0,0,5
base,sort,last-stride-w0.50,-,last-stride,32,0.500,0.2000,1.0000,0.677862,0.547151,417.141,0.004492,0.367917,-398.147,2.926,11.9,2430024,1647222,10915,3010544,29667,0.807171,0,0,200275,16,0,0,14.93,0,0,8
base,sort,bitty-w1.00,bitty-4x8-ternary,counts-eu,32,1.000,0.2000,1.0000,0.999729,0.161727,161.683,0.000382,0.006270,-161.647,1.000,3.3,487018,486886,186,3010544,29667,0.161771,172837,172837,24,137,457179136,391578272,63.57,23259,0,0
base,sort,explicit4-w1.00,explicit-4,counts-eu,32,1.000,0.2000,1.0000,0.928428,0.149330,137.819,0.000384,0.006270,-160.719,1.000,3.1,484223,449566,186,3010544,29667,0.160842,172839,172839,0,41,457179136,0,26.68,7812,0,0
base,sort,next-line-w1.00,-,next-line,32,1.000,0.2000,1.0000,0.392718,0.101422,-55.413,0.015766,0.413186,-250.112,14.028,60.9,777490,305334,12258,3010544,29667,0.258256,0,0,2233054,0,0,0,9.79,0,0,5
base,sort,last-stride-w1.00,-,last-stride,32,1.000,0.2000,1.0000,0.677862,0.547151,287.131,0.004492,0.367917,-799.920,2.926,11.9,2430024,1647222,10915,3010544,29667,0.807171,0,0,200275,16,0,0,14.98,0,0,8
base,sort,bitty-w2.00,bitty-4x8-ternary,counts-eu,32,2.000,0.2000,1.0000,0.999912,0.161665,161.637,0.000000,0.000000,-323.359,1.000,3.3,486743,486700,0,3010544,29667,0.161679,172837,172837,24,137,457179136,391578272,63.59,23259,0,0
base,sort,explicit4-w2.00,explicit-4,counts-eu,32,2.000,0.2000,1.0000,1.000000,0.149269,149.269,0.000000,0.000000,-298.537,1.000,3.1,449380,449380,0,3010544,29667,0.149269,172839,172839,0,41,457179136,0,26.26,7812,0,0
base,sort,next-line-w2.00,-,next-line,32,2.000,0.2000,1.0000,0.392718,0.101422,-212.247,0.015766,0.413186,-504.296,14.028,60.9,777490,305334,12258,3010544,29667,0.258256,0,0,2233054,0,0,0,9.67,0,0,5
base,sort,last-stride-w2.00,-,last-stride,32,2.000,0.2000,1.0000,0.677862,0.547151,27.111,0.004492,0.367917,-1603.465,2.926,11.9,2430024,1647222,10915,3010544,29667,0.807171,0,0,200275,16,0,0,15.23,0,0,8
A-split,sort,split-warmup-0.10,bitty-4x8-ternary,counts-eu,32,0.250,0.1000,1.0000,0.976955,0.177790,176.741,0.000334,0.006183,-45.420,1.000,3.6,616353,602149,206,3386862,33316,0.181983,194436,194436,16898,137,457179136,391578272,64.38,23259,0,0
A-split,sort,split-warmup-0.10-explicit4,explicit-4,counts-eu,32,0.250,0.1000,1.0000,0.937356,0.172294,169.415,0.000331,0.006183,-45.876,1.000,3.3,622533,583535,206,3386862,33316,0.183808,194442,194442,2,41,457179136,0,27.41,7812,0,0
A-split,sort,split-warmup-0.20,bitty-4x8-ternary,counts-eu,32,0.250,0.2000,1.0000,0.976994,0.177807,176.760,0.000339,0.006270,-45.421,1.000,3.6,547901,535296,186,3010544,29667,0.181994,172837,172837,15050,137,457179136,391578272,64.06,23259,0,0
