phase,trace,config,context,learner,window,waste,eval_begin,eval_end,accuracy,coverage,net_per_1k,strict_acc,strict_cov,strict_net_per_1k,mean_lead_data,mean_lead_total,issued,useful,useful_miss,scored_refs,scored_misses,action_rate,self_issued,self_useful,dedup_suppressed,state_bytes,table_bytes,update_ops,ns_per_ref,inserts,evictions,unresolved
A-roll,xz,roll-0.20-0.30-explicit4,explicit-4,counts-eu,32,0.250,0.2000,0.3000,0.880730,0.685051,661.858,0.000389,0.031056,-194.078,1.926,6.7,347429,305991,135,446669,4347,0.777822,189056,174649,47874,41,457179136,0,30.73,9954,0,0
A-roll,xz,roll-0.30-0.40,bitty-4x8-ternary,counts-eu,32,0.250,0.3000,0.4000,0.942003,0.792818,780.615,0.000005,0.000464,-210.402,1.313,4.6,375931,354128,2,446670,4309,0.841630,167066,162510,15722,137,457179136,369065824,120.52,46368,0,0
A-roll,xz,roll-0.30-0.40-explicit4,explicit-4,counts-eu,32,0.250,0.3000,0.4000,0.884915,0.684127,661.884,0.000012,0.000928,-193.263,1.946,6.7,345320,305579,4,446670,4309,0.773099,191011,176842,45672,41,457179136,0,31.02,9954,0,0
A-roll,xz,roll-0.40-0.50,bitty-4x8-ternary,counts-eu,32,0.250,0.4000,0.5000,0.942083,0.784151,772.099,0.000000,0.000000,-208.090,1.321,4.6,371789,350256,0,446669,4845,0.832359,167536,162967,16162,137,457179136,369065824,120.59,46368,0,0
A-roll,xz,roll-0.40-0.50-explicit4,explicit-4,counts-eu,32,0.250,0.4000,0.5000,0.887382,0.679839,658.269,0.000015,0.001032,-191.515,1.978,6.8,342201,303663,5,446669,4845,0.766118,192283,178192,45225,41,457179136,0,30.56,9954,0,0
A-roll,xz,roll-0.50-0.60,bitty-4x8-ternary,counts-eu,32,0.250,0.5000,0.6000,0.943632,0.787691,775.927,0.000011,0.000807,-208.675,1.316,4.6,372854,351837,4,446669,4959,0.834743,169212,164705,16298,137,457179136,369065824,120.82,46368,0,0
A-roll,xz,roll-0.50-0.60-explicit4,explicit-4,counts-eu,32,0.250,0.5000,0.6000,0.887526,0.678932,657.422,0.000015,0.001008,-191.229,1.991,6.9,341689,303258,5,446669,4959,0.764971,193068,179036,45056,41,457179136,0,30.50,9954,0,0
A-roll,xz,roll-0.60-0.70,bitty-4x8-ternary,counts-eu,32,0.250,0.6000,0.7000,0.941174,0.776658,764.522,0.000342,0.020813,-205.948,1.331,4.7,368593,346910,126,446670,6054,0.825202,169654,164912,16803,137,457179136,369065824,118.07,46368,0,0
A-roll,xz,roll-0.60-0.70-explicit4,explicit-4,counts-eu,32,0.250,0.6000,0.7000,0.886840,0.675819,654.260,0.000391,0.021969,-190.141,2.041,7.0,340386,301868,133,446670,6054,0.762053,194974,180869,44360,41,457179136,0,31.65,9954,0,0
A-roll,xz,roll-0.70-0.80,bitty-4x8-ternary,counts-eu,32,0.250,0.7000,0.8000,0.941628,0.782138,770.017,0.000016,0.001108,-207.639,1.315,4.6,371014,349357,6,446669,5417,0.830624,169152,164563,16759,137,457179136,369065824,117.60,46368,0,0
A-roll,xz,roll-0.70-0.80-explicit4,explicit-4,counts-eu,32,0.250,0.7000,0.8000,0.885794,0.676929,655.109,0.000021,0.001292,-191.032,2.024,7.0,341347,302363,7,446669,5417,0.764206,194358,180310,44836,41,457179136,0,30.79,9954,0,0
A-roll,xz,roll-0.80-0.90,bitty-4x8-ternary,counts-eu,32,0.250,0.8000,0.9000,0.942682,0.781962,770.075,0.000019,0.001249,-207.357,1.310,4.6,370515,349278,7,446669,5603,0.829507,169640,165052,16872,137,457179136,369065824,119.42,46368,0,0
A-roll,xz,roll-0.80-0.90-explicit4,explicit-4,counts-eu,32,0.250,0.8000,0.9000,0.886421,0.676221,654.560,0.000003,0.000178,-190.714,2.035,7.0,340749,302047,1,446669,5603,0.762867,194734,180699,44794,41,457179136,0,30.83,9954,0,0
A-roll,xz,roll-0.90-1.00,bitty-4x8-ternary,counts-eu,32,0.250,0.9000,1.0000,0.942845,0.779253,767.444,0.000027,0.001684,-206.595,1.314,4.6,369169,348069,10,446670,5939,0.826492,170382,165811,17130,137,457179136,369065824,117.17,46368,0,4
A-roll,xz,roll-0.90-1.00-explicit4,explicit-4,counts-eu,32,0.250,0.9000,1.0000,0.886967,0.674932,653.429,0.000012,0.000674,-190.225,2.055,7.1,339891,301472,4,446670,5939,0.760944,195564,181613,44103,41,457179136,0,30.86,9954,0,5
B,xz,type+delta,type+delta,counts-eu,32,0.100,0.2000,1.0000,0.867326,0.628572,618.957,0.000001,0.000048,-72.472,4.382,15.8,2589697,2246112,2,3573355,41473,0.724724,2482264,2192769,229222,9,457179136,0,30.30,54,0,4
